adm_0_name,adm_1_name,adm_2_name,open_dengue_code,gaul_2015_code
china,NA,NA,53,147295
saudi arabia,northern borders,NA,215,2631
bhutan,dagana,NA,624,41308
bhutan,haa,NA,626,41309
bhutan,pemagatsel,NA,630,41310
bhutan,samdrupjongkhar,NA,632,41311
bhutan,samtse,NA,633,41312
bhutan,sarpang,NA,634,41313
bhutan,zhemgang,NA,641,41314
ecuador,guayas,NA,1144,22005
ecuador,santa elena,NA,1144,22007
ecuador,pichincha,NA,1153,22006
ecuador,santo domingo de los tsachilas,NA,1153,22008
panama,bocas del toro,NA,2280,93668
panama,ngobe bugle,NA,2280,93672
panama,chiriqui,NA,2281,93669
panama,darien,NA,2285,93670
panama,veraguas,NA,2289,93673
argentina,buenos aires,canuelas,4400,82725
argentina,buenos aires,esteban echeverria,4418,82726
argentina,buenos aires,florencio varela,4420,82728
argentina,buenos aires,la plata,4444,4490
argentina,buenos aires,moron,4463,82734
argentina,buenos aires,pilar,4474,82735
argentina,buenos aires,san vicente,4494,82739
argentina,chaco,12 de octubre,4526,82755
argentina,entre rios,colon,4619,82758
argentina,entre rios,concordia,4620,82759
argentina,entre rios,villaguay,4635,82761
sudan,NA,NA,40764,6
solomon islands,temotu,NA,1000437,225
solomon islands,isabel,NA,1001272,225
solomon islands,guadalcanal,NA,1002010,225
solomon islands,choiseul,NA,1002196,225
solomon islands,central islands,NA,1002268,225
solomon islands,malaita,NA,1002734,225
solomon islands,honiara,NA,1002819,225
solomon islands,makira,NA,1003167,225
solomon islands,western,NA,1003842,225
mexico,NA,NA,1006344,162
mexico,aguascalientes,NA,1006345,2028
mexico,baja california,NA,1006346,2029
mexico,campeche,NA,1006347,2031
mexico,chiapas,NA,1006348,2032
mexico,chihuahua,NA,1006349,2033
mexico,coahuila,NA,1006350,2034
mexico,distrito federal,NA,1006351,2036
mexico,guanajuato,NA,1006352,2038
mexico,guerrero,NA,1006353,2039
mexico,hidalgo,NA,1006354,2040
mexico,mexico,NA,1006355,2042
mexico,michoacan,NA,1006356,2043
mexico,morelos,NA,1006357,2044
mexico,nuevo leon,NA,1006358,2046
mexico,oaxaca,NA,1006359,2047
mexico,puebla,NA,1006360,2048
mexico,queretaro,NA,1006361,2049
mexico,tlaxcala,NA,1006362,2056
mexico,zacatecas,NA,1006363,2059
mexico,baja california sur,NA,1006364,2030
mexico,colima,NA,1006365,2035
mexico,durango,NA,1006366,2037
mexico,jalisco,NA,1006367,2041
mexico,nayarit,NA,1006368,2045
mexico,quintana roo,NA,1006369,2050
mexico,san luis potosi,NA,1006370,2051
mexico,sinaloa,NA,1006371,2052
mexico,sonora,NA,1006372,2053
mexico,tabasco,NA,1006373,2054
mexico,tamaulipas,NA,1006374,2055
mexico,veracruz,NA,1006375,2057
mexico,yucatan,NA,1006376,2058
myanmar,NA,NA,1011440,171
papua new guinea,NA,NA,1011441,192
peru,NA,NA,1011442,195
solomon islands,NA,NA,1011444,225
afghanistan,NA,NA,1011446,1
viet nam,NA,NA,1011447,264
peru,la libertad,sanchez carrion,1011801,24125
peru,piura,piura,1011804,24161
peru,cusco,calca,1011806,24074
peru,ancash,huaraz,1011809,24020
peru,cusco,cusco,1011811,24078
peru,lima,canete,1011812,24134
peru,ayacucho,cangallo,1011816,24047
peru,ica,ica,1011819,24104
peru,cusco,quispicanchi,1011824,24083
peru,san martin,huallaga,1011825,24187
peru,ayacucho,huamanga,1011826,24049
peru,cajamarca,jaen,1011831,24065
peru,huanuco,huacaybamba,1011833,24094
peru,ucayali,padre abad,1011834,24198
peru,piura,sechura,1011835,24162
peru,cajamarca,cajamarca,1011836,24059
peru,ayacucho,parinacochas,1011838,24054
peru,huanuco,leoncio prado,1011839,24098
peru,piura,huancabamba,1011843,24158
peru,arequipa,arequipa,1011845,24039
peru,cajamarca,san pablo,1011848,24069
peru,lima,lima,1011849,91841
peru,pasco,oxapampa,1011850,24155
peru,callao,callao,1011851,91837
peru,san martin,lamas,1011852,24182
peru,cajamarca,chota,1011853,24061
peru,ica,palpa,1011862,24106
peru,madre de dios,manu,1011863,24148
peru,huanuco,dos de mayo,1011865,91840
peru,la libertad,viru,1011867,24128
peru,san martin,tocache,1011869,24188
peru,cusco,la convencion,1011872,24080
peru,junin,huancayo,1011874,24111
peru,junin,junin,1011876,24113
peru,la libertad,chepen,1011879,24119
peru,huanuco,puerto inca,1011880,24101
peru,ica,chincha,1011881,24103
peru,puno,sandia,1011886,24176
peru,ica,pisco,1011887,24107
peru,lima,huaura,1011893,24138
peru,cajamarca,santa cruz,1011894,24138
peru,loreto,maynas,1011897,24145
peru,loreto,putumayo,1011897,2343
peru,ayacucho,huanta,1011898,24051
peru,la libertad,gran chimu,1011900,24120
peru,loreto,loreto,1011903,24143
peru,tumbes,tumbes,1011904,24194
peru,junin,chanchamayo,1011905,24108
peru,lima,huaral,1011906,24136
peru,huanuco,maraѐon,1011910,
peru,tumbes,contralmirante villar,1011914,24193
peru,piura,talara,1011917,24164
peru,tumbes,zarumilla,1011918,24195
peru,ayacucho,sucre,1011921,24056
peru,arequipa,caraveli,1011922,24041
peru,cajamarca,celendin,1011925,24060
peru,cusco,paucartambo,1011931,24082
peru,amazonas,chachapoyas,1011933,24007
peru,madre de dios,tahuamanu,1011935,24149
peru,san martin,moyobamba,1011936,24184
peru,cajamarca,cajabamba,1011938,24058
peru,amazonas,rodriguez de mendoza,1011942,24010
peru,loreto,ucayali,1011944,24147
peru,la libertad,pacasmayo,1011945,24123
peru,puno,carabaya,1011948,24166
peru,amazonas,bongara,1011952,24006
peru,huanuco,huamalies,1011957,24095
peru,ayacucho,la mar,1011958,24052
peru,la libertad,bolivar,1011959,24118
peru,ucayali,purus,1011964,24147
peru,lima,barranca,1011969,24132
peru,lambayeque,ferrenafe,1011970,24130
peru,madre de dios,tambopata,1011974,24150
peru,san martin,el dorado,1011977,91844
peru,piura,morropon,1011980,24159
peru,junin,satipo,1011981,24114
peru,san martin,san martin,1011982,24187
peru,san martin,rioja,1011984,24186
peru,piura,sullana,1011985,24163
peru,la libertad,trujillo,1011988,24127
peru,cajamarca,cutervo,1011991,24063
peru,loreto,alto amazonas,1011992,91847
peru,loreto,datem del maranon,1011992,91842
peru,lambayeque,lambayeque,1011996,24131
peru,cajamarca,san miguel,1011997,24068
peru,san martin,picota,1011999,24185
peru,ica,nazca,1012003,24105
peru,ancash,casma,1012005,24018
peru,ayacucho,paucar del sara sara,1012006,24055
peru,la libertad,ascope,1012008,24117
peru,ucayali,coronel portillo,1012012,24197
peru,loreto,mariscal ramon castilla,1012013,24144
peru,moquegua,mariscal nieto,1012015,24153
peru,piura,ayabaca,1012017,24157
peru,ancash,huarmey,1012018,91836
peru,huanuco,ambo,1012022,24092
peru,ancash,pallasca,1012023,24026
peru,piura,paita,1012025,24160
