"iso_a0","adm_0_name","adm_1_name","adm_2_name","gaul_level","fao_gaul_code","t_res","calendar_start_date","calendar_end_date","year","dengue_total","case_definition_standardised"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2001-01-01,2001-01-31,2001,552,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2001-02-01,2001-02-28,2001,1295,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2001-03-01,2001-03-31,2001,2425,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2001-04-01,2001-04-30,2001,7216,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2001-05-01,2001-05-31,2001,7701,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2001-06-01,2001-06-30,2001,3831,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2001-07-01,2001-07-31,2001,1203,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2001-08-01,2001-08-31,2001,522,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2001-09-01,2001-09-30,2001,310,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2001-10-01,2001-10-31,2001,470,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2001-11-01,2001-11-30,2001,548,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2001-12-01,2001-12-31,2001,1642,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2002-01-01,2002-01-31,2002,33074,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2002-02-01,2002-02-28,2002,47161,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2002-03-01,2002-03-31,2002,56123,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2002-04-01,2002-04-30,2002,10694,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2002-05-01,2002-05-31,2002,1514,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2002-06-01,2002-06-30,2002,214,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2002-07-01,2002-07-31,2002,110,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2002-08-01,2002-08-31,2002,100,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2002-09-01,2002-09-30,2002,76,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2002-10-01,2002-10-31,2002,207,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2002-11-01,2002-11-30,2002,729,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2002-12-01,2002-12-31,2002,1559,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2003-01-01,2003-01-31,2003,391,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2003-02-01,2003-02-28,2003,367,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2003-03-01,2003-03-31,2003,231,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2003-04-01,2003-04-30,2003,93,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2003-05-01,2003-05-31,2003,50,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2003-06-01,2003-06-30,2003,29,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2003-07-01,2003-07-31,2003,22,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2003-08-01,2003-08-31,2003,16,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2003-09-01,2003-09-30,2003,29,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2003-10-01,2003-10-31,2003,56,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2003-11-01,2003-11-30,2003,226,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2003-12-01,2003-12-31,2003,264,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2004-01-01,2004-01-31,2004,109,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2004-02-01,2004-02-29,2004,82,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2004-03-01,2004-03-31,2004,72,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2004-04-01,2004-04-30,2004,33,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2004-05-01,2004-05-31,2004,14,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2004-06-01,2004-06-30,2004,11,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2004-07-01,2004-07-31,2004,6,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2004-08-01,2004-08-31,2004,21,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2004-09-01,2004-09-30,2004,22,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2004-10-01,2004-10-31,2004,25,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2004-11-01,2004-11-30,2004,92,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2004-12-01,2004-12-31,2004,115,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-01-01,2005-01-31,2005,62,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-02-01,2005-02-28,2005,58,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-03-01,2005-03-31,2005,34,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-04-01,2005-04-30,2005,46,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-05-01,2005-05-31,2005,31,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-06-01,2005-06-30,2005,32,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-07-01,2005-07-31,2005,38,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-08-01,2005-08-31,2005,65,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-09-01,2005-09-30,2005,44,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-10-01,2005-10-31,2005,63,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-11-01,2005-11-30,2005,119,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2005-12-01,2005-12-31,2005,259,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-01-01,2006-01-31,2006,1600,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-02-01,2006-02-28,2006,2931,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-03-01,2006-03-31,2006,4280,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-04-01,2006-04-30,2006,2862,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-05-01,2006-05-31,2006,1323,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-06-01,2006-06-30,2006,482,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-07-01,2006-07-31,2006,188,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-08-01,2006-08-31,2006,157,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-09-01,2006-09-30,2006,91,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-10-01,2006-10-31,2006,114,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-11-01,2006-11-30,2006,159,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2006-12-01,2006-12-31,2006,432,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-01-01,2007-01-31,2007,260,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-02-01,2007-02-28,2007,598,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-03-01,2007-03-31,2007,776,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-04-01,2007-04-30,2007,773,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-05-01,2007-05-31,2007,691,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-06-01,2007-06-30,2007,313,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-07-01,2007-07-31,2007,225,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-08-01,2007-08-31,2007,120,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-09-01,2007-09-30,2007,92,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-10-01,2007-10-31,2007,90,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-11-01,2007-11-30,2007,227,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2007-12-01,2007-12-31,2007,390,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-01-01,2008-01-31,2008,11769,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-02-01,2008-02-29,2008,15336,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-03-01,2008-03-31,2008,39102,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-04-01,2008-04-30,2008,33460,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-05-01,2008-05-31,2008,7759,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"month",2008-06-01,2008-06-30,2008,1184,"probable"
